season,episode_number,air_date,count
4,42,2016-11-23T20:35:00-08:00,4
4,43,2016-11-24T20:35:00-08:00,3
4,44,2016-11-28T20:35:00-08:00,10
4,45,2016-11-29T20:35:00-08:00,10
4,46,2016-11-30T20:35:00-08:00,10
4,47,2016-12-01T20:35:00-08:00,2
4,48,2016-12-02T20:35:00-08:00,8
4,49,2016-12-05T20:35:00-08:00,10
4,50,2016-12-06T20:35:00-08:00,3
4,51,2016-12-07T20:35:00-08:00,7
4,52,2016-12-08T20:35:00-08:00,4
4,53,2016-12-09T20:35:00-08:00,7
4,54,2016-12-12T20:34:00-08:00,4
4,55,2016-12-13T20:35:00-08:00,6
4,56,2016-12-14T20:35:00-08:00,4
4,57,2016-12-15T20:35:00-08:00,5
4,58,2016-12-16T20:35:00-08:00,6
4,59,2016-12-19T20:35:00-08:00,4
4,60,2016-12-20T20:35:00-08:00,9
4,61,2016-12-21T20:35:00-08:00,5
4,62,2016-12-22T20:35:00-08:00,7
4,63,2016-12-23T20:35:00-08:00,0
4,64,2017-01-10T20:35:00-08:00,6
4,65,2017-01-11T20:35:00-08:00,10
4,66,2017-01-12T20:35:00-08:00,7
4,67,2017-01-13T20:35:00-08:00,10
4,68,2017-01-16T20:35:00-08:00,5
4,69,2017-01-17T20:35:00-08:00,10
4,70,2017-01-18T20:35:00-08:00,6
