season,episode_number,rating,rating_count
13,47,7.2,8
14,47,8.2,6
15,47,7.1,15
16,47,7.5,12
17,47,7.7,19
18,47,7.3,17
19,47,7.7,17
20,47,7.2,24
1,48,N/A,N/A
2,48,6.0,5
3,48,N/A,N/A
4,48,N/A,N/A
5,48,N/A,N/A
6,48,N/A,N/A
7,48,N/A,N/A
8,48,N/A,N/A
9,48,7.7,11
10,48,6.9,7
11,48,6.8,8
12,48,7.6,11
13,48,6.7,9
14,48,6.1,9
15,48,6.0,15
16,48,7.3,19
17,48,7.7,19
18,48,6.9,17
19,48,7.9,18
20,48,6.8,24
1,49,N/A,N/A
2,49,N/A,N/A
3,49,N/A,N/A
4,49,N/A,N/A
5,49,N/A,N/A
6,49,N/A,N/A
7,49,N/A,N/A
8,49,N/A,N/A
9,49,6.2,8
10,49,5.7,7
11,49,6.6,8
12,49,6.1,10
13,49,7.8,13
14,49,8.0,6
15,49,6.0,16
16,49,6.1,14
17,49,7.7,16
18,49,7.6,16
19,49,7.6,19
20,49,7.0,23
1,50,N/A,N/A
2,50,N/A,N/A
3,50,N/A,N/A
4,50,N/A,N/A
5,50,N/A,N/A
6,50,N/A,N/A
7,50,N/A,N/A
8,50,N/A,N/A
9,50,6.7,9
10,50,7.2,10
11,50,6.1,9
12,50,6.2,10
13,50,7.0,12
14,50,6.5,10
15,50,6.1,16
16,50,7.0,12
17,50,7.7,15
18,50,7.3,18
19,50,8.0,20
20,50,7.2,23
1,51,N/A,N/A
2,51,N/A,N/A
3,51,N/A,N/A
4,51,3.6,16
5,51,N/A,N/A
6,51,N/A,N/A
7,51,N/A,N/A
8,51,5.6,5
9,51,5.3,9
10,51,6.7,7
11,51,3.6,29
12,51,7.4,9
13,51,6.3,13
14,51,7.1,7
15,51,6.1,12
16,51,6.1,14
17,51,7.6,18
18,51,7.1,16
19,51,7.5,18
20,51,7.5,24
1,52,N/A,N/A
2,52,N/A,N/A
3,52,N/A,N/A
4,52,N/A,N/A
5,52,N/A,N/A
6,52,N/A,N/A
7,52,N/A,N/A
8,52,N/A,N/A
9,52,6.9,7
10,52,7.1,7
11,52,6.8,8
12,52,6.0,11
13,52,7.7,14
14,52,7.1,12
15,52,6.3,13
16,52,6.1,18
17,52,7.2,14
18,52,7.2,16
19,52,7.6,17
20,52,7.3,27
1,53,N/A,N/A
2,53,N/A,N/A
3,53,N/A,N/A
4,53,N/A,N/A
5,53,N/A,N/A
6,53,N/A,N/A
7,53,N/A,N/A
8,53,N/A,N/A
9,53,6.9,7
10,53,6.7,10
11,53,6.8,8
12,53,6.5,10
13,53,7.2,13
14,53,7.7,13
15,53,5.7,13
16,53,6.6,17
17,53,7.5,15
18,53,7.3,19
19,53,7.3,18
20,53,7.8,22
1,54,N/A,N/A
2,54,N/A,N/A
3,54,N/A,N/A
4,54,N/A,N/A
5,54,N/A,N/A
6,54,N/A,N/A
7,54,N/A,N/A
8,54,N/A,N/A
9,54,7.9,30
10,54,6.0,8
11,54,6.5,8
12,54,6.3,11
13,54,7.1,11
14,54,7.5,13
15,54,7.2,12
16,54,6.5,14
17,54,7.8,17
18,54,7.3,16
19,54,8.0,22
20,54,7.5,22
